STUDENT_ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES_QUARTILE,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION,DESTINATION (including deferrals)
15970,South-Western Victoria,Metropolitan,Government,Maribyrnong,F,VCE non-VET,Lowest,Lowest,Australia,Yes,Bachelor degree,Bachelor degree
15971,South-Eastern Victoria,Metropolitan,Catholic,Mornington Peninsula,F,VCE VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
15972,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15973,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15974,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15975,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15976,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15977,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15978,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15979,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
15980,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15981,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15982,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15983,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15984,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
15985,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
15986,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15987,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
15988,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,Low - Medium,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
15989,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15990,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15991,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15992,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15993,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,Yes,Bachelor degree,Bachelor degree
15994,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15995,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15996,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,Yes,Bachelor degree,Bachelor degree
15997,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,Lowest,Lowest,Australia,Yes,Bachelor degree,Bachelor degree
15998,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
15999,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16000,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16001,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16002,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16003,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16004,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16005,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16006,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16007,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16008,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16009,South-Eastern Victoria,Metropolitan,Independent,Frankston,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16010,South-Eastern Victoria,Metropolitan,Independent,Frankston,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16011,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16012,South-Eastern Victoria,Metropolitan,Independent,Frankston,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16013,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16014,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16015,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16016,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
