STUDENT_ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES_QUARTILE,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION,DESTINATION (including deferrals)
1,North-Eastern Victoria,Metropolitan,Government,Monash,M,VCE non-VET,Lowest,Lowest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
2,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,M,VCAL Only,Lowest,Lowest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
3,South-Eastern Victoria,Metropolitan,Catholic,Port Phillip,M,VCE non-VET,High,Highest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
4,South-Western Victoria,Metropolitan,Government,Maribyrnong,M,VCE VET,Lowest,Lowest,Vietnam,No,Apprenticeship/traineeship,Apprenticeship/traineeship
5,South-Western Victoria,Metropolitan,Government,Brimbank,F,VCE non-VET,Low - Medium,Lower-middle,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
6,North-Western Victoria,Metropolitan,Government,Darebin,F,VCE non-VET,Lowest,Lowest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
7,South-Western Victoria,Metropolitan,Government,Brimbank,M,VCAL Only,Lowest,Lowest,Vietnam,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
8,North-Eastern Victoria,Non-Metropolitan,Catholic,Greater Shepparton,M,VCE non-VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
9,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
10,North-Western Victoria,Metropolitan,Catholic,Whittlesea,M,VCAL Only,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
11,North-Western Victoria,Non-Metropolitan,Government,Swan Hill,M,VCAL Only,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
12,South-Western Victoria,Non-Metropolitan,Government,Warrnambool,M,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
13,South-Eastern Victoria,Non-Metropolitan,Independent,Wellington,M,VCE VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
14,South-Eastern Victoria,Non-Metropolitan,Independent,Wellington,M,VCE VET,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
15,South-Eastern Victoria,Non-Metropolitan,Government,Bass Coast,M,VCE VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
16,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCAL Only,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
17,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCE VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
18,North-Eastern Victoria,Metropolitan,Government,Manningham,F,VCE non-VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
19,South-Eastern Victoria,Metropolitan,Government,Casey,F,VCAL Only,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
20,South-Eastern Victoria,Metropolitan,Government,Casey,F,VCE VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
21,North-Western Victoria,Non-Metropolitan,Catholic,Greater Bendigo,M,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
22,South-Western Victoria,Metropolitan,Government,Moonee Valley,M,VCE non-VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
23,North-Western Victoria,Metropolitan,Government,Whittlesea,M,VCAL Only,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
24,North-Western Victoria,Non-Metropolitan,Government,Greater Bendigo,F,VCAL Only,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
25,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
26,North-Eastern Victoria,Non-Metropolitan,Government,Towong,F,VCE VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
27,North-Eastern Victoria,Non-Metropolitan,Government,Towong,M,VCAL Only,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
28,North-Eastern Victoria,Non-Metropolitan,Government,Towong,F,VCE VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
29,South-Western Victoria,Non-Metropolitan,Government,Ballarat,M,VCE non-VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
30,North-Western Victoria,Metropolitan,Government,Nillumbik,F,VCE VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
31,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
32,North-Eastern Victoria,Metropolitan,Government,Knox,F,VCAL Only,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
33,South-Western Victoria,Metropolitan,Adult,Melbourne,F,VCAL Only,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
34,South-Western Victoria,Metropolitan,Government,Melton,M,VCE VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
35,South-Eastern Victoria,Metropolitan,Government,Frankston,F,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
36,South-Western Victoria,Metropolitan,Government,Moonee Valley,F,VCE non-VET,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
37,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
38,North-Eastern Victoria,Non-Metropolitan,Catholic,Benalla,M,VCE VET,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
39,South-Eastern Victoria,Metropolitan,Catholic,Casey,F,VCE VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
40,North-Western Victoria,Metropolitan,Government,Moreland,M,VCE non-VET,Low - Medium,Lower-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
41,North-Eastern Victoria,Metropolitan,Government,Yarra Ranges,M,VCAL Only,Medium,Upper-middle,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
42,North-Eastern Victoria,Non-Metropolitan,Government,Benalla,F,VCE non-VET,Lowest,Lowest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
43,North-Western Victoria,Non-Metropolitan,Government,Greater Bendigo,M,VCE VET,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
44,North-Western Victoria,Metropolitan,Government,Nillumbik,M,VCAL Only,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
45,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,High,Highest,Unknown,,Apprenticeship/traineeship,Apprenticeship/traineeship
46,South-Western Victoria,Non-Metropolitan,Government,Ballarat,F,VCAL Only,Medium,Upper-middle,United States of America,No,Apprenticeship/traineeship,Apprenticeship/traineeship
47,South-Western Victoria,Metropolitan,Independent,Melbourne,M,VCE non-VET,Low - Medium,Lower-middle,United States of America,No,Apprenticeship/traineeship,Apprenticeship/traineeship
48,South-Eastern Victoria,Metropolitan,Independent,Frankston,F,VCE non-VET,Low - Medium,Lower-middle,United States of America,No,Apprenticeship/traineeship,Apprenticeship/traineeship
49,North-Eastern Victoria,Metropolitan,Catholic,Maroondah,M,VCE non-VET,High,Highest,United States of America,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
50,South-Western Victoria,Metropolitan,Adult,Melbourne,M,VCE VET,Low - Medium,Lower-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
51,North-Eastern Victoria,Metropolitan,Government,Maroondah,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
52,North-Eastern Victoria,Non-Metropolitan,Government,Wodonga,M,VCE VET,Lowest,Lowest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
53,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
54,North-Eastern Victoria,Metropolitan,Catholic,Whitehorse,M,VCE non-VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
55,North-Eastern Victoria,Metropolitan,Government,Knox,M,VCE non-VET,Low - Medium,Lower-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
56,South-Eastern Victoria,Metropolitan,Government,Frankston,M,VCE non-VET,Low - Medium,Lower-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
57,South-Eastern Victoria,Metropolitan,Government,Kingston,F,VCE non-VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
58,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
59,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
60,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
61,North-Western Victoria,Metropolitan,Government,Whittlesea,F,VCE non-VET,Medium,Upper-middle,United Kingdom,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
62,South-Western Victoria,Non-Metropolitan,Government,Surf Coast,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
63,North-Western Victoria,Metropolitan,Government,Darebin,M,VCAL Only,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
64,North-Eastern Victoria,Metropolitan,Catholic,Maroondah,F,VCE non-VET,Medium,Upper-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
65,North-Eastern Victoria,Metropolitan,Government,Knox,M,VCE non-VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
66,South-Western Victoria,Metropolitan,Catholic,Hobsons Bay,M,VCE non-VET,Medium,Upper-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
67,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCAL Only,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
68,South-Western Victoria,Metropolitan,Catholic,Hobsons Bay,F,VCE non-VET,Medium,Upper-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
69,South-Western Victoria,Non-Metropolitan,Independent,Ballarat,F,VCE VET,Medium,Upper-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
70,South-Eastern Victoria,Metropolitan,Government,Kingston,M,VCE non-VET,Low - Medium,Lower-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
71,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE VET,High,Highest,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
72,North-Western Victoria,Metropolitan,Government,Whittlesea,F,VCE non-VET,Medium,Upper-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
73,South-Eastern Victoria,Metropolitan,Government,Mornington Peninsula,M,VCAL Only,Low - Medium,Lower-middle,United Kingdom,No,Apprenticeship/traineeship,Apprenticeship/traineeship
74,North-Western Victoria,Non-Metropolitan,Government,Greater Bendigo,F,VCE VET,Lowest,Lowest,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
75,South-Western Victoria,Metropolitan,Government,Wyndham,M,VCAL Only,Low - Medium,Lower-middle,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
76,South-Western Victoria,Metropolitan,Government,Wyndham,M,VCAL Only,Medium,Upper-middle,Thailand,No,Apprenticeship/traineeship,Apprenticeship/traineeship
77,North-Western Victoria,Non-Metropolitan,Government,Greater Bendigo,M,VCE VET,Lowest,Lowest,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
78,North-Eastern Victoria,Metropolitan,Government,Monash,M,VCAL Only,Lowest,Lowest,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
79,South-Eastern Victoria,Metropolitan,Catholic,Port Phillip,M,VCE non-VET,High,Highest,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
80,South-Western Victoria,Metropolitan,Government,Maribyrnong,F,VCAL Only,Lowest,Lowest,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
81,South-Western Victoria,Metropolitan,Government,Hobsons Bay,M,VCAL Only,Low - Medium,Lower-middle,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
82,South-Western Victoria,Metropolitan,Government,Wyndham,M,VCE VET,Medium,Upper-middle,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
83,South-Western Victoria,Metropolitan,Government,Wyndham,F,VCE non-VET,Low - Medium,Lower-middle,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
84,South-Western Victoria,Metropolitan,Government,Wyndham,M,VCAL Only,Low - Medium,Lower-middle,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
85,South-Western Victoria,Metropolitan,Catholic,Brimbank,F,VCAL Only,Lowest,Lowest,Thailand,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
86,South-Eastern Victoria,Metropolitan,Government,Frankston,M,VCE VET,Low - Medium,Lower-middle,Thailand,No,Apprenticeship/traineeship,Apprenticeship/traineeship
87,North-Eastern Victoria,Metropolitan,Government,Monash,F,VCE non-VET,High,Highest,Taiwan,No,Apprenticeship/traineeship,Apprenticeship/traineeship
88,North-Eastern Victoria,Metropolitan,Independent,Knox,F,VCE VET,Medium,Upper-middle,Taiwan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
89,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,M,VCAL Only,Lowest,Lowest,Sudan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
90,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,F,VCE VET,Lowest,Lowest,Sudan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
91,South-Western Victoria,Metropolitan,Independent,Wyndham,M,VCE VET,Low - Medium,Lower-middle,Sudan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
92,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,Lowest,Lowest,Sudan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
93,South-Western Victoria,Metropolitan,Catholic,Melbourne,F,VCAL Only,Medium,Upper-middle,Sudan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
94,South-Western Victoria,Metropolitan,Government,Brimbank,F,VCAL Only,Low - Medium,Lower-middle,Sudan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
95,South-Eastern Victoria,Metropolitan,Government,Frankston,F,VCE VET,Medium,Upper-middle,Sudan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
96,South-Western Victoria,Metropolitan,Independent,Melton,M,VCE VET,Low - Medium,Lower-middle,Sudan,No,Apprenticeship/traineeship,Apprenticeship/traineeship
97,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,M,VCAL Only,Lowest,Lowest,Sri Lanka,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
98,South-Western Victoria,Metropolitan,Catholic,Hobsons Bay,F,VCE non-VET,Low - Medium,Lower-middle,Sri Lanka,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
99,North-Western Victoria,Metropolitan,Government,Moreland,M,VCAL Only,Lowest,Lowest,Sri Lanka,No,Apprenticeship/traineeship,Apprenticeship/traineeship
100,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,M,VCAL Only,Lowest,Lowest,Sri Lanka,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
101,North-Western Victoria,Metropolitan,Government,Hume,F,VCAL Only,Low - Medium,Lower-middle,South Eastern Europe,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
102,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,M,VCAL Only,Medium,Upper-middle,South Africa,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
103,North-Western Victoria,Non-Metropolitan,Government,Mildura,M,VCE VET,Lowest,Lowest,South Africa,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
104,North-Western Victoria,Metropolitan,Government,Whittlesea,M,VCE VET,High,Highest,South Africa,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
105,South-Eastern Victoria,Metropolitan,Independent,Frankston,M,VCE non-VET,Low - Medium,Lower-middle,South Africa,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
106,North-Eastern Victoria,Metropolitan,Government,Manningham,F,VCE VET,High,Highest,South Africa,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
107,South-Western Victoria,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Low - Medium,Lower-middle,South Africa,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
108,North-Western Victoria,Metropolitan,Independent,Nillumbik,M,VCE VET,Low - Medium,Lower-middle,South Africa,No,Apprenticeship/traineeship,Apprenticeship/traineeship
109,South-Eastern Victoria,Metropolitan,Government,Frankston,M,VCE VET,Low - Medium,Lower-middle,South Africa,No,Apprenticeship/traineeship,Apprenticeship/traineeship
110,South-Eastern Victoria,Metropolitan,Independent,Frankston,M,VCE VET,Medium,Upper-middle,South Africa,No,Apprenticeship/traineeship,Apprenticeship/traineeship
111,North-Western Victoria,Metropolitan,Government,Moreland,F,VCAL Only,Low - Medium,Lower-middle,Somalia,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
112,North-Western Victoria,Metropolitan,Government,Moreland,M,VCE VET,Medium,Upper-middle,Somalia,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
113,North-Eastern Victoria,Non-Metropolitan,Government,Greater Shepparton,F,VCE VET,Lowest,Lowest,Somalia,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
114,North-Eastern Victoria,Metropolitan,Government,Boroondara,M,VCE non-VET,Medium,Upper-middle,Somalia,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
115,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCE non-VET,Low - Medium,Lower-middle,Refused,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
116,South-Western Victoria,Metropolitan,Government,Melbourne,F,VCE non-VET,Lowest,Lowest,Refused,Prefer not to say,Apprenticeship/traineeship,Apprenticeship/traineeship
117,South-Western Victoria,Non-Metropolitan,Government,Greater Geelong,M,VCAL Only,Medium,Upper-middle,Refused,Prefer not to say,Apprenticeship/traineeship,Apprenticeship/traineeship
118,South-Western Victoria,Metropolitan,Independent,Moonee Valley,M,VCE non-VET,Medium,Upper-middle,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
119,South-Western Victoria,Metropolitan,Government,Brimbank,M,VCAL Only,Lowest,Lowest,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
120,South-Eastern Victoria,Non-Metropolitan,Catholic,South Gippsland,F,VCE VET,Low - Medium,Lower-middle,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
121,North-Western Victoria,Non-Metropolitan,Government,Greater Bendigo,M,VCE VET,Lowest,Lowest,Philippines,No,Apprenticeship/traineeship,Apprenticeship/traineeship
122,North-Western Victoria,Metropolitan,Government,Whittlesea,F,VCE non-VET,High,Highest,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
123,South-Western Victoria,Metropolitan,Government,Wyndham,M,VCE non-VET,Low - Medium,Lower-middle,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
124,North-Eastern Victoria,Metropolitan,Government,Yarra Ranges,M,VCAL Only,Medium,Upper-middle,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
125,North-Western Victoria,Metropolitan,Government,Whittlesea,M,VCE non-VET,High,Highest,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
126,South-Eastern Victoria,Metropolitan,Government,Kingston,M,VCAL Only,Medium,Upper-middle,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
127,North-Eastern Victoria,Metropolitan,Government,Yarra Ranges,F,VCE non-VET,Medium,Upper-middle,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
128,North-Eastern Victoria,Metropolitan,Government,Yarra Ranges,F,VCE non-VET,Medium,Upper-middle,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
129,South-Western Victoria,Non-Metropolitan,Government,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Philippines,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
130,South-Western Victoria,Metropolitan,Government,Brimbank,M,VCAL Only,Medium,Upper-middle,Pakistan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
131,South-Western Victoria,Non-Metropolitan,Government,Greater Geelong,M,VCAL Only,Low - Medium,Lower-middle,Pakistan,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
132,South-Western Victoria,Non-Metropolitan,Government,Greater Geelong,M,VCAL Only,Medium,Upper-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
133,North-Western Victoria,Metropolitan,Government,Whittlesea,M,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
134,South-Eastern Victoria,Metropolitan,Independent,Casey,F,VCE non-VET,Low - Medium,Lower-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
135,North-Eastern Victoria,Non-Metropolitan,Government,Wodonga,M,VCE VET,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
136,North-Western Victoria,Metropolitan,Government,Hume,M,VCAL Only,Low - Medium,Lower-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
137,South-Western Victoria,Metropolitan,Government,Wyndham,M,VCAL Only,Medium,Upper-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
138,North-Eastern Victoria,Metropolitan,Government,Monash,M,VCAL Only,Medium,Upper-middle,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
139,South-Western Victoria,Metropolitan,Government,Melton,M,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
140,North-Western Victoria,Metropolitan,Catholic,Hume,M,VCE VET,Low - Medium,Lower-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
141,South-Western Victoria,Metropolitan,Catholic,Melton,F,VCE non-VET,Lowest,Lowest,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
142,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,Low - Medium,Lower-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
143,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,Low - Medium,Lower-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
144,South-Eastern Victoria,Metropolitan,Government,Casey,M,VCAL Only,High,Highest,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
145,South-Western Victoria,Metropolitan,Government,Brimbank,F,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
146,South-Western Victoria,Metropolitan,Government,Brimbank,M,VCAL Only,Lowest,Lowest,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
147,North-Eastern Victoria,Metropolitan,Government,Maroondah,M,VCE non-VET,Medium,Upper-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
148,North-Western Victoria,Metropolitan,Government,Darebin,M,VCAL Only,High,Highest,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
149,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,M,VCAL Only,Medium,Upper-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
150,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,M,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
151,South-Western Victoria,Metropolitan,Government,Wyndham,M,VCAL Only,Low - Medium,Lower-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
152,South-Western Victoria,Metropolitan,Government,Melton,F,VCE non-VET,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
153,North-Eastern Victoria,Metropolitan,Catholic,Monash,M,VCE VET,High,Highest,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
154,North-Eastern Victoria,Non-Metropolitan,Government,Greater Shepparton,M,VCE non-VET,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
155,South-Western Victoria,Metropolitan,Government,Wyndham,M,VCAL Only,Medium,Upper-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
156,South-Western Victoria,Non-Metropolitan,Government,Greater Geelong,M,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
157,South-Western Victoria,Non-Metropolitan,Government,Greater Geelong,F,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
158,North-Western Victoria,Metropolitan,Catholic,Yarra,M,VCAL Only,Lowest,Lowest,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
159,North-Western Victoria,Non-Metropolitan,Catholic,Swan Hill,F,VCE non-VET,Lowest,Lowest,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
160,South-Western Victoria,Metropolitan,Government,Maribyrnong,M,VCAL Only,Lowest,Lowest,Other,No,Apprenticeship/traineeship,Apprenticeship/traineeship
161,South-Eastern Victoria,Metropolitan,Government,Greater Dandenong,F,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
162,South-Western Victoria,Metropolitan,Government,Maribyrnong,M,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
163,South-Western Victoria,Metropolitan,Government,Maribyrnong,M,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
164,South-Western Victoria,Metropolitan,Government,Maribyrnong,M,VCAL Only,Low - Medium,Lower-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
165,South-Western Victoria,Metropolitan,Government,Maribyrnong,M,VCAL Only,Low - Medium,Lower-middle,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
166,South-Western Victoria,Metropolitan,Government,Maribyrnong,M,VCAL Only,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
167,South-Western Victoria,Metropolitan,Government,Brimbank,M,VCE non-VET,Lowest,Lowest,Other,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
